,unique_tx,city,state,zipcode,credit_card_limit,date,transaction_dollar_amount,Long,Lat,date_only,hour_only,day_of_the_week,num_day,month_only,year_only,session,classification
189467,3787622376078564,New York,NY,10001,24000,2015-09-25 23:13:38,110.31,50.2510463831343,36.7345580563276,2015-09-25,23,Friday,5,9,2015,Evening-Night,Fraud
189522,3787622376078564,New York,NY,10001,24000,2015-08-20 21:45:35,244.59,5.33674776490713,28.7480210855797,2015-08-20,21,Thursday,4,8,2015,Evening-Night,Fraud
189564,6388959096068998,Chicago,IL,60290,10000,2015-08-21 02:24:38,841.5,-87.6888581589731,41.9108218325897,2015-08-21,2,Friday,5,8,2015,Late Night,Fraud
189615,6388959096068998,Chicago,IL,60290,10000,2015-10-14 01:04:02,802.36,-87.6917585677251,41.8681203682286,2015-10-14,1,Wednesday,3,10,2015,Late Night,Fraud
189656,6388959096068998,Chicago,IL,60290,10000,2015-08-26 11:09:36,38.07,-87.6450253379924,41.8048220369588,2015-08-26,11,Wednesday,3,8,2015,Morning,Fraud
189677,6388959096068998,Chicago,IL,60290,10000,2015-10-27 00:04:56,43.62,33.8183590585547,13.1453653161012,2015-10-27,24,Tuesday,2,10,2015,Evening-Night,Fraud
189789,6388959096068998,Chicago,IL,60290,10000,2015-10-24 21:11:54,18.64,176.761680807373,-15.5517095228303,2015-10-24,21,Saturday,6,10,2015,Evening-Night,Fraud
189830,1627133998042765,Arlington,MA,2174,2000,2015-10-29 02:06:47,23.32,-71.1176840409001,42.4201992846388,2015-10-29,2,Thursday,4,10,2015,Late Night,Fraud
189833,1627133998042765,Arlington,MA,2174,2000,2015-09-15 03:17:14,35.67,-71.1211289617402,42.3807111412389,2015-09-15,3,Tuesday,2,9,2015,Late Night,Fraud
189848,1627133998042765,Arlington,MA,2174,2000,2015-10-28 01:19:37,8.43,-71.0897452065618,42.4034111649361,2015-10-28,1,Wednesday,3,10,2015,Late Night,Fraud
189849,1627133998042765,Arlington,MA,2174,2000,2015-10-28 01:19:38,36.05,-71.2175426053035,42.3873592052885,2015-10-28,1,Wednesday,3,10,2015,Late Night,Fraud
189850,1627133998042765,Arlington,MA,2174,2000,2015-10-28 01:19:39,42.62,-71.1370550523817,42.3754259706638,2015-10-28,1,Wednesday,3,10,2015,Late Night,Fraud
189852,1627133998042765,Arlington,MA,2174,2000,2015-08-18 02:26:36,28.37,-71.2093503198621,42.3520238865946,2015-08-18,2,Tuesday,2,8,2015,Late Night,Fraud
189861,1627133998042765,Arlington,MA,2174,2000,2015-08-03 03:41:44,20.3,-71.223362211704,42.4585317573969,2015-08-03,3,Monday,1,8,2015,Late Night,Fraud
189863,1627133998042765,Arlington,MA,2174,2000,2015-09-12 23:51:41,858.28,-71.1342959016326,42.4076959236284,2015-09-12,23,Saturday,6,9,2015,Evening-Night,Fraud
189934,7596392338837497,Richmond,MA,1254,20000,2015-10-13 19:40:38,990.57,-73.3660852788043,42.3844011571082,2015-10-13,19,Tuesday,2,10,2015,Evening-Night,Fraud
189940,7596392338837497,Richmond,MA,1254,20000,2015-10-06 07:55:02,79.96,-73.3244289521819,42.3771321730746,2015-10-06,7,Tuesday,2,10,2015,Morning,Fraud
189949,7596392338837497,Richmond,MA,1254,20000,2015-08-05 19:02:39,50.88,48.7622552314967,22.0418779923399,2015-08-05,19,Wednesday,3,8,2015,Evening-Night,Fraud
189976,7596392338837497,Richmond,MA,1254,20000,2015-08-01 23:01:46,67.82,3.14741966589762,59.3144351727054,2015-08-01,23,Saturday,6,8,2015,Evening-Night,Fraud
189993,7596392338837497,Richmond,MA,1254,20000,2015-09-15 19:19:42,123.98,13.3757558029899,1.77813462706983,2015-09-15,19,Tuesday,2,9,2015,Evening-Night,Fraud
190065,7596392338837497,Richmond,MA,1254,20000,2015-08-27 16:53:22,26.36,19.1639604520979,41.8249386385519,2015-08-27,16,Thursday,4,8,2015,Afternoon,Fraud
190180,7596392338837497,Richmond,MA,1254,20000,2015-10-22 18:55:26,93.03,11.7160330563833,-20.8614957451523,2015-10-22,18,Thursday,4,10,2015,Afternoon,Fraud
190278,7596392338837497,Richmond,MA,1254,20000,2015-10-29 19:59:40,75.72,124.218650260841,-16.75133513742,2015-10-29,19,Thursday,4,10,2015,Evening-Night,Fraud
190284,7596392338837497,Richmond,MA,1254,20000,2015-08-04 21:37:03,33.07,152.939646938814,16.7965666550532,2015-08-04,21,Tuesday,2,8,2015,Evening-Night,Fraud
190452,3613345325704319,Hartford,VT,5047,18000,2015-09-11 22:23:17,19.73,23.0524107156096,-10.2066019515815,2015-09-11,22,Friday,5,9,2015,Evening-Night,Fraud
190454,3613345325704319,Hartford,VT,5047,18000,2015-09-24 15:11:30,65.22,49.3655327665689,53.5911200968645,2015-09-24,15,Thursday,4,9,2015,Afternoon,Fraud
190460,3613345325704319,Hartford,VT,5047,18000,2015-10-23 21:30:42,60.72,14.8110367063126,-25.0278651120864,2015-10-23,21,Friday,5,10,2015,Evening-Night,Fraud
190506,3613345325704319,Hartford,VT,5047,18000,2015-10-07 05:00:45,44.94,-72.3000024723079,43.618375623798,2015-10-07,5,Wednesday,3,10,2015,Late Night,Fraud
190556,3613345325704319,Hartford,VT,5047,18000,2015-08-22 19:46:54,45.08,25.5732288851103,46.169435312583,2015-08-22,19,Saturday,6,8,2015,Evening-Night,Fraud
190637,3613345325704319,Hartford,VT,5047,18000,2015-10-02 15:27:08,51.68,-5.8731639104166,14.9168743415606,2015-10-02,15,Friday,5,10,2015,Afternoon,Fraud
190646,3613345325704319,Hartford,VT,5047,18000,2015-08-23 15:29:57,0.05,-72.3533590582385,43.7078559283892,2015-08-23,15,Sunday,0,8,2015,Afternoon,Fraud
190663,3613345325704319,Hartford,VT,5047,18000,2015-10-18 21:27:40,54.73,108.730283065822,40.4468633379715,2015-10-18,21,Sunday,0,10,2015,Evening-Night,Fraud
190688,3613345325704319,Hartford,VT,5047,18000,2015-10-03 22:28:43,48.58,132.150901438352,62.50857328036,2015-10-03,22,Saturday,6,10,2015,Evening-Night,Fraud
190698,3613345325704319,Hartford,VT,5047,18000,2015-10-01 21:16:10,45.12,6.52636874093853,39.9618956729797,2015-10-01,21,Thursday,4,10,2015,Evening-Night,Fraud
190788,3613345325704319,Hartford,VT,5047,18000,2015-10-10 00:49:40,18.5,25.783916411179,49.0971603889202,2015-10-10,24,Saturday,6,10,2015,Evening-Night,Fraud
190847,3877689042636086,Cascade,MD,21719,10000,2015-09-12 17:52:37,7.05,13.2040168023834,0.286731678256931,2015-09-12,17,Saturday,6,9,2015,Afternoon,Fraud
190974,3877689042636086,Cascade,MD,21719,10000,2015-08-23 20:29:52,84.01,4.51653574438898,50.3690493640954,2015-08-23,20,Sunday,0,8,2015,Evening-Night,Fraud
190991,3877689042636086,Cascade,MD,21719,10000,2015-07-31 21:47:14,22.73,114.9656224917,56.5897711968137,2015-07-31,21,Friday,5,7,2015,Evening-Night,Fraud
191022,3877689042636086,Cascade,MD,21719,10000,2015-08-27 20:16:15,123.73,65.2589542815325,42.5341408549072,2015-08-27,20,Thursday,4,8,2015,Evening-Night,Fraud
191072,2053649899928978,New York,NY,10001,20000,2015-10-17 19:44:59,28.97,15.9641777576231,-13.3887836054185,2015-10-17,19,Saturday,6,10,2015,Evening-Night,Fraud
191079,2053649899928978,New York,NY,10001,20000,2015-08-30 10:36:31,69.57,-74.0125254716114,40.7208584145713,2015-08-30,10,Sunday,0,8,2015,Morning,Fraud
191187,2053649899928978,New York,NY,10001,20000,2015-10-14 21:44:36,859.16,3.26802185808849,41.9171552065076,2015-10-14,21,Wednesday,3,10,2015,Evening-Night,Fraud
191387,2053649899928978,New York,NY,10001,20000,2015-08-25 12:56:06,61.39,-74.0335848561651,40.7258719569573,2015-08-25,12,Tuesday,2,8,2015,Morning,Fraud
191414,2053649899928978,New York,NY,10001,20000,2015-10-14 06:06:14,55.62,-73.9770459388244,40.7678963149545,2015-10-14,6,Wednesday,3,10,2015,Late Night,Fraud
191479,2053649899928978,New York,NY,10001,20000,2015-10-17 12:06:23,12.04,-74.053747067255,40.7881223694347,2015-10-17,12,Saturday,6,10,2015,Morning,Fraud
191563,2053649899928978,New York,NY,10001,20000,2015-10-20 20:19:46,37.24,51.1256943396703,35.5227326504309,2015-10-20,20,Tuesday,2,10,2015,Evening-Night,Fraud
191600,8864950135729370,Evansville,IN,47412,3000,2015-08-01 19:22:23,30.58,179.167470294589,-15.5601263184164,2015-08-01,19,Saturday,6,8,2015,Evening-Night,Fraud
191613,8864950135729370,Evansville,IN,47412,3000,2015-09-05 17:33:16,0.02,-87.6578530214079,37.9469268558062,2015-09-05,17,Saturday,6,9,2015,Afternoon,Fraud
191626,8864950135729370,Evansville,IN,47412,3000,2015-07-31 17:17:32,22.4,-8.61116423803175,-19.2326979204579,2015-07-31,17,Friday,5,7,2015,Afternoon,Fraud
191648,8864950135729370,Evansville,IN,47412,3000,2015-10-04 22:47:51,12.75,115.80607956068,27.8845660309612,2015-10-04,22,Sunday,0,10,2015,Evening-Night,Fraud
191656,8864950135729370,Evansville,IN,47412,3000,2015-08-14 18:34:49,28.14,43.2809907454859,-37.5497379478867,2015-08-14,18,Friday,5,8,2015,Afternoon,Fraud
191726,8864950135729370,Evansville,IN,47412,3000,2015-09-02 12:39:36,29.66,-87.6297142589226,38.0561985297093,2015-09-02,12,Wednesday,3,9,2015,Morning,Fraud
191775,8553746017036332,Wilmington,MA,1887,6000,2015-08-27 01:48:59,940.3,-71.1241875043864,42.5219290935331,2015-08-27,1,Thursday,4,8,2015,Late Night,Fraud
191784,8553746017036332,Wilmington,MA,1887,6000,2015-10-21 03:10:26,96.44,-71.2076308271435,42.4878319489048,2015-10-21,3,Wednesday,3,10,2015,Late Night,Fraud
191786,8553746017036332,Wilmington,MA,1887,6000,2015-10-16 02:52:34,6.6,-71.2350236504964,42.6089690311538,2015-10-16,2,Friday,5,10,2015,Late Night,Fraud
191801,8553746017036332,Wilmington,MA,1887,6000,2015-10-14 19:02:16,64.6,51.2268059693831,44.3188893959108,2015-10-14,19,Wednesday,3,10,2015,Evening-Night,Fraud
191850,8553746017036332,Wilmington,MA,1887,6000,2015-08-05 18:22:57,33.39,-71.1716730997261,42.6404978670889,2015-08-05,18,Wednesday,3,8,2015,Afternoon,Fraud
191870,8553746017036332,Wilmington,MA,1887,6000,2015-08-20 22:27:55,17.16,-71.1428352038894,42.5619781014943,2015-08-20,22,Thursday,4,8,2015,Evening-Night,Fraud
191951,1701518284353388,Jackson,NH,3846,21000,2015-10-13 21:15:40,244.2,1.43727015241413,52.3382868587493,2015-10-13,21,Tuesday,2,10,2015,Evening-Night,Fraud
191955,1701518284353388,Jackson,NH,3846,21000,2015-10-29 19:53:57,56.44,23.0820081304441,8.20005816990922,2015-10-29,19,Thursday,4,10,2015,Evening-Night,Fraud
191963,1701518284353388,Jackson,NH,3846,21000,2015-09-09 03:18:41,296.28,11.5752765487438,35.3110036484779,2015-09-09,3,Wednesday,3,9,2015,Late Night,Fraud
191998,1701518284353388,Jackson,NH,3846,21000,2015-10-24 09:53:27,152.51,-71.1832763600689,44.0959233531843,2015-10-24,9,Saturday,6,10,2015,Morning,Fraud
191999,1701518284353388,Jackson,NH,3846,21000,2015-08-21 21:07:29,0.06,-71.190065950886,44.2458882607239,2015-08-21,21,Friday,5,8,2015,Evening-Night,Fraud
192259,7528857656894738,Washington,NH,3280,3000,2015-08-15 02:09:11,27.78,-72.1412451274898,43.1476601830987,2015-08-15,2,Saturday,6,8,2015,Late Night,Fraud
192273,7528857656894738,Washington,NH,3280,3000,2015-08-14 03:36:58,13.33,-72.0119089302524,43.1514610201729,2015-08-14,3,Friday,5,8,2015,Late Night,Fraud
192437,9375103964985968,Washington,NH,3280,16000,2015-09-18 19:51:26,144.33,9.04214749550902,52.2753354857189,2015-09-18,19,Friday,5,9,2015,Evening-Night,Fraud
192471,9375103964985968,Washington,NH,3280,16000,2015-08-06 23:15:48,118.96,62.2129925491503,-11.5898076976221,2015-08-06,23,Thursday,4,8,2015,Evening-Night,Fraud
192516,9375103964985968,Washington,NH,3280,16000,2015-10-24 00:49:42,90.2,111.512337963102,18.8131046910905,2015-10-24,24,Saturday,6,10,2015,Evening-Night,Fraud
192532,9375103964985968,Washington,NH,3280,16000,2015-09-19 20:28:40,96.88,105.229524962658,45.6791364459982,2015-09-19,20,Saturday,6,9,2015,Evening-Night,Fraud
192556,9375103964985968,Washington,NH,3280,16000,2015-09-18 15:43:33,97.91,9.61591488150048,48.1865074143095,2015-09-18,15,Friday,5,9,2015,Afternoon,Fraud
192558,9375103964985968,Washington,NH,3280,16000,2015-08-16 14:11:51,5.27,44.4913052698041,-27.596217388764,2015-08-16,14,Sunday,0,8,2015,Afternoon,Fraud
192594,9375103964985968,Washington,NH,3280,16000,2015-10-20 21:04:08,47.33,32.4962876624728,26.7273873372425,2015-10-20,21,Tuesday,2,10,2015,Evening-Night,Fraud
192631,9375103964985968,Washington,NH,3280,16000,2015-09-11 22:03:11,171.46,-157.415198523957,59.3913345256933,2015-09-11,22,Friday,5,9,2015,Evening-Night,Fraud
192687,9375103964985968,Washington,NH,3280,16000,2015-08-05 12:36:44,129.63,-72.0272056927091,43.1417930631548,2015-08-05,12,Wednesday,3,8,2015,Morning,Fraud
192702,9375103964985968,Washington,NH,3280,16000,2015-07-31 23:20:09,0.42,-72.0750394738017,43.2444813226009,2015-07-31,23,Friday,5,7,2015,Evening-Night,Fraud
192793,1210872963953886,Columbus,NJ,8022,7000,2015-09-04 12:44:53,72.51,-74.7610981227423,40.1233653825358,2015-09-04,12,Friday,5,9,2015,Morning,Fraud
192796,1210872963953886,Columbus,NJ,8022,7000,2015-08-08 17:51:55,57.84,12.0757298322,-1.11183475944776,2015-08-08,17,Saturday,6,8,2015,Afternoon,Fraud
192888,1210872963953886,Columbus,NJ,8022,7000,2015-10-30 01:27:21,56.26,-74.6606463696237,40.0418365506082,2015-10-30,1,Friday,5,10,2015,Late Night,Fraud
192911,1210872963953886,Columbus,NJ,8022,7000,2015-10-13 00:51:16,57.02,38.1198463757754,41.2739305045351,2015-10-13,24,Tuesday,2,10,2015,Evening-Night,Fraud
192914,1210872963953886,Columbus,NJ,8022,7000,2015-10-16 21:19:00,831.31,29.8471872376504,-2.98366138704247,2015-10-16,21,Friday,5,10,2015,Evening-Night,Fraud
192928,1210872963953886,Columbus,NJ,8022,7000,2015-10-30 01:30:03,59.81,-74.7567385255522,40.0438842642074,2015-10-30,1,Friday,5,10,2015,Late Night,Fraud
192963,7325119954636745,El Paso,IL,61738,10000,2015-08-10 23:39:58,32.94,8.87226391752364,49.3799875988589,2015-08-10,23,Monday,1,8,2015,Evening-Night,Fraud
193200,7325119954636745,El Paso,IL,61738,10000,2015-08-06 19:50:57,113.35,68.3454987607544,53.6157256754373,2015-08-06,19,Thursday,4,8,2015,Evening-Night,Fraud
193289,8028935620354401,Phoenix,NY,13135,12000,2015-10-13 23:12:49,35.2,108.428353605444,40.4469428194133,2015-10-13,23,Tuesday,2,10,2015,Evening-Night,Fraud
193316,8028935620354401,Phoenix,NY,13135,12000,2015-10-24 00:45:50,68.1,6.91506680905471,26.2249430503406,2015-10-24,24,Saturday,6,10,2015,Evening-Night,Fraud
193390,8028935620354401,Phoenix,NY,13135,12000,2015-08-01 20:47:02,62.14,54.3410852583138,-0.624137729933548,2015-08-01,20,Saturday,6,8,2015,Evening-Night,Fraud
193393,8028935620354401,Phoenix,NY,13135,12000,2015-10-19 01:34:45,56.77,136.446870792101,21.2411709342854,2015-10-19,1,Monday,1,10,2015,Late Night,Fraud
193432,8028935620354401,Phoenix,NY,13135,12000,2015-10-16 22:27:50,842.48,-63.0754699372189,3.66877594719167,2015-10-16,22,Friday,5,10,2015,Evening-Night,Fraud
193641,8028935620354401,Phoenix,NY,13135,12000,2015-08-11 23:23:58,36.4,128.07550357027,43.1452260052819,2015-08-11,23,Tuesday,2,8,2015,Evening-Night,Fraud
193643,8028935620354401,Phoenix,NY,13135,12000,2015-10-07 02:22:21,49.28,69.1730606517898,14.4088756354538,2015-10-07,2,Wednesday,3,10,2015,Late Night,Fraud
193703,8028935620354401,Phoenix,NY,13135,12000,2015-08-31 23:49:36,95.08,147.985821833465,71.9249164076183,2015-08-31,23,Monday,1,8,2015,Evening-Night,Fraud
193757,2025583437341338,Louisville,GA,30434,21000,2015-08-15 02:49:48,179.25,-82.4447549583084,32.9920729782218,2015-08-15,2,Saturday,6,8,2015,Late Night,Fraud
193822,2025583437341338,Louisville,GA,30434,21000,2015-10-29 15:23:44,0.01,-82.3417048926535,32.9864019431653,2015-10-29,15,Thursday,4,10,2015,Afternoon,Fraud
193882,2025583437341338,Louisville,GA,30434,21000,2015-08-27 06:18:03,76.38,-82.3604704214988,32.9457499175493,2015-08-27,6,Thursday,4,8,2015,Late Night,Fraud
193929,2025583437341338,Louisville,GA,30434,21000,2015-08-07 01:31:11,121.66,-82.379832401794,33.0298809841074,2015-08-07,1,Friday,5,8,2015,Late Night,Fraud
193987,2025583437341338,Louisville,GA,30434,21000,2015-08-05 01:59:44,199.97,-82.3763156138853,32.9818801098565,2015-08-05,1,Wednesday,3,8,2015,Late Night,Fraud
193993,2025583437341338,Louisville,GA,30434,21000,2015-08-07 02:56:04,166.0,-82.3463246766498,33.0500230755786,2015-08-07,2,Friday,5,8,2015,Late Night,Fraud
194022,2025583437341338,Louisville,GA,30434,21000,2015-09-18 22:30:17,21.21,119.463125890532,-4.49254263259178,2015-09-18,22,Friday,5,9,2015,Evening-Night,Fraud
194042,2025583437341338,Louisville,GA,30434,21000,2015-09-24 22:40:47,78.34,-3.48647351675645,59.3909766116366,2015-09-24,22,Thursday,4,9,2015,Evening-Night,Fraud
194114,4222257296924178,Houston,PA,15342,4000,2015-08-27 01:29:33,80.53,-80.2426114153063,40.2411203374208,2015-08-27,1,Thursday,4,8,2015,Late Night,Fraud
194128,4222257296924178,Houston,PA,15342,4000,2015-10-03 01:46:24,77.4,-80.2294574540657,40.1853138826533,2015-10-03,1,Saturday,6,10,2015,Late Night,Fraud
194145,4222257296924178,Houston,PA,15342,4000,2015-08-21 19:35:41,79.23,41.9034819964323,50.8594177201057,2015-08-21,19,Friday,5,8,2015,Evening-Night,Fraud
194165,4222257296924178,Houston,PA,15342,4000,2015-09-05 01:23:58,895.21,-80.2908887879736,40.1985176382548,2015-09-05,1,Saturday,6,9,2015,Late Night,Fraud
194181,4222257296924178,Houston,PA,15342,4000,2015-08-04 03:43:07,98.73,-80.1383873207232,40.2175602385878,2015-08-04,3,Tuesday,2,8,2015,Late Night,Fraud
194221,5255734714016352,Washington,NH,3280,9000,2015-10-16 18:31:43,81.33,102.489796755475,-24.8030616940947,2015-10-16,18,Friday,5,10,2015,Afternoon,Fraud
194316,5255734714016352,Washington,NH,3280,9000,2015-08-22 11:00:32,80.81,-72.0957920050593,43.2543284251295,2015-08-22,11,Saturday,6,8,2015,Morning,Fraud
194479,4439982514963965,Philadelphia,NY,13673,5000,2015-08-25 22:17:57,19.3,147.080073919044,-4.07545313234436,2015-08-25,22,Tuesday,2,8,2015,Evening-Night,Fraud
194500,4439982514963965,Philadelphia,NY,13673,5000,2015-08-21 17:57:04,18.11,71.8077846506896,22.3361679273815,2015-08-21,17,Friday,5,8,2015,Afternoon,Fraud
194519,4439982514963965,Philadelphia,NY,13673,5000,2015-09-20 17:47:06,11.28,-13.9373860402507,70.6710071183655,2015-09-20,17,Sunday,0,9,2015,Afternoon,Fraud
194522,4439982514963965,Philadelphia,NY,13673,5000,2015-10-30 04:23:59,27.73,-75.7883122387066,44.1151004232901,2015-10-30,4,Friday,5,10,2015,Late Night,Fraud
194532,4439982514963965,Philadelphia,NY,13673,5000,2015-08-16 01:00:13,0.11,-75.7378561302637,44.1460002723634,2015-08-16,1,Sunday,0,8,2015,Late Night,Fraud
194558,4439982514963965,Philadelphia,NY,13673,5000,2015-09-27 11:39:11,12.21,-75.6932982535299,44.1893288605484,2015-09-27,11,Sunday,0,9,2015,Morning,Fraud
194593,4439982514963965,Philadelphia,NY,13673,5000,2015-10-02 01:39:12,9.36,138.578314112592,41.5546915808149,2015-10-02,1,Friday,5,10,2015,Late Night,Fraud
194619,4439982514963965,Philadelphia,NY,13673,5000,2015-09-13 02:44:46,25.97,169.388919589004,-2.18852311506952,2015-09-13,2,Sunday,0,9,2015,Late Night,Fraud
194642,4439982514963965,Philadelphia,NY,13673,5000,2015-08-08 07:34:23,33.47,-75.7161287240508,44.2214619285885,2015-08-08,7,Saturday,6,8,2015,Morning,Fraud
194947,6703587278204507,Houston,PA,15342,20000,2015-08-16 21:13:05,14.03,102.266483759454,51.1469440335004,2015-08-16,21,Sunday,0,8,2015,Evening-Night,Fraud
194955,6703587278204507,Houston,PA,15342,20000,2015-08-01 17:19:39,36.55,44.3654754227194,20.6463381813349,2015-08-01,17,Saturday,6,8,2015,Afternoon,Fraud
195125,6703587278204507,Houston,PA,15342,20000,2015-08-08 13:49:14,61.94,82.9146564699668,21.3641089951892,2015-08-08,13,Saturday,6,8,2015,Afternoon,Fraud
195128,6703587278204507,Houston,PA,15342,20000,2015-08-27 20:03:42,52.27,168.737932624351,18.7000089729212,2015-08-27,20,Thursday,4,8,2015,Evening-Night,Fraud
195135,6703587278204507,Houston,PA,15342,20000,2015-08-14 18:23:18,20.21,5.35743511378488,-32.9349478138423,2015-08-14,18,Friday,5,8,2015,Afternoon,Fraud
195201,6703587278204507,Houston,PA,15342,20000,2015-10-07 02:45:30,33.01,34.7785327301052,7.56345632813935,2015-10-07,2,Wednesday,3,10,2015,Late Night,Fraud
195241,6703587278204507,Houston,PA,15342,20000,2015-09-24 23:37:40,18.3,104.52482545714,43.6505560327923,2015-09-24,23,Thursday,4,9,2015,Evening-Night,Fraud
195263,6703587278204507,Houston,PA,15342,20000,2015-08-18 20:40:51,54.68,123.852317481271,36.3830914943055,2015-08-18,20,Tuesday,2,8,2015,Evening-Night,Fraud
195307,1460880989446247,Houston,PA,15342,20000,2015-08-02 01:07:07,295.81,-80.2904793515071,40.2027389545087,2015-08-02,1,Sunday,0,8,2015,Late Night,Fraud
195334,1460880989446247,Houston,PA,15342,20000,2015-09-23 19:53:00,40.97,66.9285155158109,34.3282763093835,2015-09-23,19,Wednesday,3,9,2015,Evening-Night,Fraud
195351,1460880989446247,Houston,PA,15342,20000,2015-08-06 12:55:50,0.2,-80.2405419105497,40.2423119766355,2015-08-06,12,Thursday,4,8,2015,Morning,Fraud
195460,1460880989446247,Houston,PA,15342,20000,2015-10-09 17:42:37,295.19,10.1057971503362,52.1562757313946,2015-10-09,17,Friday,5,10,2015,Afternoon,Fraud
195482,1460880989446247,Houston,PA,15342,20000,2015-09-18 01:33:39,984.19,-80.2091055062654,40.1720483081504,2015-09-18,1,Friday,5,9,2015,Late Night,Fraud
195562,1460880989446247,Houston,PA,15342,20000,2015-08-25 21:55:20,229.76,24.4345037652882,12.587540771164,2015-08-25,21,Tuesday,2,8,2015,Evening-Night,Fraud
195566,1460880989446247,Houston,PA,15342,20000,2015-08-23 16:11:55,158.72,20.2696571633145,51.6576819730021,2015-08-23,16,Sunday,0,8,2015,Afternoon,Fraud
195649,1460880989446247,Houston,PA,15342,20000,2015-10-24 12:09:28,162.83,-80.1898508561901,40.2318785954368,2015-10-24,12,Saturday,6,10,2015,Morning,Fraud
195764,1460880989446247,Houston,PA,15342,20000,2015-09-16 22:19:08,189.73,2.21423481891581,40.4964613961048,2015-09-16,22,Wednesday,3,9,2015,Evening-Night,Fraud
195783,4339853010378399,Miami,WV,25134,18000,2015-10-21 20:19:09,44.44,142.93206201055,28.9269375707644,2015-10-21,20,Wednesday,3,10,2015,Evening-Night,Fraud
195843,4339853010378399,Miami,WV,25134,18000,2015-10-14 23:28:11,35.2,8.9153201490549,43.545166848772,2015-10-14,23,Wednesday,3,10,2015,Evening-Night,Fraud
195857,4339853010378399,Miami,WV,25134,18000,2015-08-20 19:29:39,49.48,16.3302896804143,53.7093891438368,2015-08-20,19,Thursday,4,8,2015,Evening-Night,Fraud
195956,4339853010378399,Miami,WV,25134,18000,2015-10-03 21:22:22,24.09,3.11540558094418,33.0805864162486,2015-10-03,21,Saturday,6,10,2015,Evening-Night,Fraud
196057,4339853010378399,Miami,WV,25134,18000,2015-09-21 19:05:21,56.32,32.5559452594037,43.296169548054,2015-09-21,19,Monday,1,9,2015,Evening-Night,Fraud
196126,4339853010378399,Miami,WV,25134,18000,2015-10-21 21:15:34,45.26,73.0822553529715,48.7869821345142,2015-10-21,21,Wednesday,3,10,2015,Evening-Night,Fraud
196208,4339853010378399,Miami,WV,25134,18000,2015-08-20 07:03:34,37.14,-81.3618122662884,38.1569887965682,2015-08-20,7,Thursday,4,8,2015,Morning,Fraud
196229,4339853010378399,Miami,WV,25134,18000,2015-08-04 17:38:02,56.41,-24.4920107776181,58.1804793935004,2015-08-04,17,Tuesday,2,8,2015,Afternoon,Fraud
196242,4339853010378399,Miami,WV,25134,18000,2015-10-12 17:06:30,12.68,112.547037956591,12.4926129196236,2015-10-12,17,Monday,1,10,2015,Afternoon,Fraud
196367,4101798991332958,Birmingham,NJ,8011,15000,2015-08-22 12:50:41,88.83,-74.6620237249313,39.9859821540194,2015-08-22,12,Saturday,6,8,2015,Morning,Fraud
196431,4101798991332958,Birmingham,NJ,8011,15000,2015-08-07 15:50:49,128.45,73.8869416318027,50.1980787483628,2015-08-07,15,Friday,5,8,2015,Afternoon,Fraud
196565,4101798991332958,Birmingham,NJ,8011,15000,2015-09-16 23:33:55,83.19,128.224262545944,65.9899219387839,2015-09-16,23,Wednesday,3,9,2015,Evening-Night,Fraud
196568,4101798991332958,Birmingham,NJ,8011,15000,2015-10-21 01:48:37,51.47,121.399978498507,-21.3264308432953,2015-10-21,1,Wednesday,3,10,2015,Late Night,Fraud
196671,6661995519399289,Washington,NH,3280,21000,2015-08-08 16:55:27,75.1,60.958503279999,-33.0786387245105,2015-08-08,16,Saturday,6,8,2015,Afternoon,Fraud
196691,6661995519399289,Washington,NH,3280,21000,2015-10-16 19:17:55,179.47,4.481690116011,65.1433805591531,2015-10-16,19,Friday,5,10,2015,Evening-Night,Fraud
196752,6661995519399289,Washington,NH,3280,21000,2015-10-17 19:39:40,64.35,73.0734692496876,64.9951326280945,2015-10-17,19,Saturday,6,10,2015,Evening-Night,Fraud
196822,6661995519399289,Washington,NH,3280,21000,2015-08-26 01:05:16,17.37,128.74426864801,41.3595838571239,2015-08-26,1,Wednesday,3,8,2015,Late Night,Fraud
196903,6661995519399289,Washington,NH,3280,21000,2015-10-22 23:21:54,194.42,18.8624441792516,38.2662278390192,2015-10-22,23,Thursday,4,10,2015,Evening-Night,Fraud
196946,6661995519399289,Washington,NH,3280,21000,2015-09-18 16:24:45,36.38,7.20179516115118,45.4958702313063,2015-09-18,16,Friday,5,9,2015,Afternoon,Fraud
196957,6661995519399289,Washington,NH,3280,21000,2015-09-20 18:41:40,110.98,12.8948508531365,-33.8698750203846,2015-09-20,18,Sunday,0,9,2015,Afternoon,Fraud
197007,9683778679967012,New York,NY,10001,6000,2015-10-09 19:14:33,143.61,51.1945566819627,22.2183401419057,2015-10-09,19,Friday,5,10,2015,Evening-Night,Fraud
197043,9683778679967012,New York,NY,10001,6000,2015-10-18 03:43:48,130.66,-73.9710339057754,40.6805430756716,2015-10-18,3,Sunday,0,10,2015,Late Night,Fraud
197105,9683778679967012,New York,NY,10001,6000,2015-09-19 12:18:11,99.11,-73.942934953999,40.7997034581134,2015-09-19,12,Saturday,6,9,2015,Morning,Fraud
197170,4234505022072368,Houston,PA,15342,16000,2015-10-12 17:06:51,77.78,10.5856142675167,43.7677620351577,2015-10-12,17,Monday,1,10,2015,Afternoon,Fraud
